run_id,match_id,table_size,hand_id,dealer,winner,win_amount,pot_size,end_round,showdown,stacks_after
20260408T102956Z,match_001_baseline_vs_weak_ai,2,1,baseline,weak_ai,542,542,River,False,"{""baseline"": -155, ""weak_ai"": 155}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,2,weak_ai,baseline,1960,1960,Showdown,True,"{""baseline"": 980, ""weak_ai"": -980}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,3,baseline,baseline,540,540,Showdown,True,"{""baseline"": 270, ""weak_ai"": -270}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,4,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,5,baseline,weak_ai,1880,1880,Flop,False,"{""baseline"": -920, ""weak_ai"": 920}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,6,weak_ai,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,7,baseline,baseline,1980,1980,Showdown,True,"{""baseline"": 990, ""weak_ai"": -990}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,8,weak_ai,weak_ai,1460,1460,Showdown,True,"{""baseline"": -730, ""weak_ai"": 730}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,9,baseline,weak_ai,440,440,Showdown,True,"{""baseline"": -220, ""weak_ai"": 220}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,10,weak_ai,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,11,baseline,baseline,1740,1740,Showdown,True,"{""baseline"": 870, ""weak_ai"": -870}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,12,weak_ai,weak_ai,1950,1950,Flop,False,"{""baseline"": -960, ""weak_ai"": 960}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,13,baseline,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
